;$FILEVERSION=1.1
;$STARTTIME=46168.6396648727
;
;   Start time: 26/05/2026 15:21:07.045.0
;   Generated by PCAN-View v5.3.3.958
;
;   Message Number
;   |         Time Offset (ms)
;   |         |        Type
;   |         |        |        ID (hex)
;   |         |        |        |     Data Length
;   |         |        |        |     |   Data Bytes (hex) ...
;   |         |        |        |     |   |
;---+--   ----+----  --+--  ----+---  +  -+ -- -- -- -- -- -- --
   843)     9415.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
   844)     9430.5  Rx      0600  8  0A 66 01 00 00 40 00 00 
   845)     9437.5  Rx      0626  8  25 11 FE 7F A9 0C 00 00 
   846)     9443.5  Rx      0618  8  00 01 00 64 85 13 6C 00 
   847)     9471.5  Rx      0626  8  21 12 FE 7F A2 0C 00 00 
   848)     9505.4  Rx      0626  8  30 12 FE 7F AA 0C 00 00 
   849)     9509.4  Rx      0610  8  06 00 BA 03 DD 03 6D 00 
   850)     9515.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
   851)     9515.6  Rx      0100  8  2C 22 F9 B0 12 8E 0F 42 
   852)     9518.6  Rx      0101  8  13 88 00 17 00 5F 9B 12 
   853)     9521.6  Rx      0102  8  00 00 00 00 00 00 1B 00 
   854)     9524.6  Rx      0104  4  1C 03 71 49 
   855)     9527.6  Rx      0105  8  0B B0 0B BA 0B A6 31 E4 
   856)     9530.6  Rx      0107  8  0F BE 0F C5 0F C1 B6 FF 
   857)     9532.5  Rx      0600  8  0A 66 01 00 00 40 00 00 
   858)     9533.6  Rx      0108  8  0F C8 0F C4 0F C0 7D A6 
   859)     9536.6  Rx      0109  8  0F C7 0F C3 0F BF 5D 02 
   860)     9539.4  Rx      0626  8  55 12 FE 7F AD 0C 00 00 
   861)     9539.6  Rx      010A  8  0F C6 0F C2 0F BE 9D AF 
   862)     9542.6  Rx      010B  8  0F C5 0F C1 0F C8 7B 9A 
   863)     9544.5  Rx      0618  8  00 01 00 64 90 13 73 00 
   864)     9545.6  Rx      010C  8  0F C4 0F C0 0F C7 7F B6 
   865)     9548.6  Rx      010D  8  0F C3 0F BF 0F C6 A7 F3 
   866)     9551.6  Rx      010E  8  0F C2 0F BE 0F C5 A6 DF 
   867)     9554.6  Rx      010F  8  0F C1 0F C8 0F C4 BC BB 
   868)     9557.6  Rx      0110  8  0F C0 00 00 00 00 F5 00 
   869)     9562.4  Rx      0628  8  10 04 6F 00 20 00 00 00 
   870)     9573.4  Rx      0626  8  B4 12 FE 7F B7 0C 00 00 
   871)     9607.4  Rx      0626  8  B2 12 FE 7F BF 0C 00 00 
   872)     9610.5  Rx      0610  8  07 00 BF 03 E2 03 73 00 
   873)     9615.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
   874)     9634.5  Rx      0600  8  0A 66 01 00 00 40 00 00 
   875)     9641.4  Rx      0626  8  B4 12 FE 7F C8 0C 00 00 
   876)     9645.4  Rx      0618  8  00 01 00 64 91 13 75 00 
   877)     9675.4  Rx      0626  8  C4 12 FE 7F E0 0C 00 00 
   878)     9709.5  Rx      0626  8  BA 12 FE 7F E9 0C 00 00 
   879)     9711.4  Rx      0610  8  07 00 C6 03 EA 03 75 00 
   880)     9715.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
   881)     9719.5  Rx      0615  8  24 00 56 00 00 00 00 00 
   882)     9736.5  Rx      0600  8  0A 66 01 00 00 40 00 00 
   883)     9743.5  Rx      0626  8  87 12 FE 7F EB 0C 00 00 
   884)     9746.4  Rx      0618  8  00 01 00 64 8D 13 74 00 
   885)     9777.5  Rx      0626  8  84 12 FE 7F F2 0C 00 00 
   886)     9811.4  Rx      0626  8  75 12 FE 7F F6 0C 00 00 
   887)     9812.4  Rx      0610  8  07 00 CD 03 F0 03 75 00 
   888)     9815.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
   889)     9838.4  Rx      0600  8  0A 66 01 00 00 40 00 00 
   890)     9845.4  Rx      0626  8  80 12 FE 7F F2 0C 00 00 
   891)     9847.4  Rx      0618  8  00 01 00 64 87 13 76 00 
   892)     9879.4  Rx      0626  8  98 12 FE 7F F8 0C 00 00 
   893)     9913.4  Rx      0610  8  07 00 D3 03 F7 03 76 00 
   894)     9913.5  Rx      0626  8  AE 12 FE 7F 03 0D 00 00 
   895)     9915.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
   896)     9940.5  Rx      0600  8  0A 66 01 00 00 40 00 00 
   897)     9947.4  Rx      0626  8  AB 12 FE 7F 08 0D 00 00 
   898)     9948.4  Rx      0618  8  00 01 00 64 88 13 77 00 
   899)     9981.5  Rx      0626  8  BE 12 FE 7F 24 0D 00 00 
   900)    10014.5  Rx      0610  8  07 00 D9 03 FD 03 77 00 
   901)    10015.4  Rx      0626  8  AA 12 FE 7F 28 0D 00 00 
   902)    10015.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
   903)    10025.5  Rx      0615  8  25 00 56 00 00 00 00 00 
   904)    10042.5  Rx      0600  8  0A 66 01 00 00 40 00 00 
   905)    10049.5  Rx      0618  8  00 01 00 64 86 13 77 00 
   906)    10049.6  Rx      0626  8  A6 12 FE 7F 2C 0D 00 00 
   907)    10072.5  Rx      0625  8  00 00 00 00 32 00 00 00 
   908)    10083.5  Rx      0626  8  8D 12 FE 7F 32 0D 00 00 
   909)    10115.4  Rx      0610  8  07 00 E0 03 04 04 78 00 
   910)    10115.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
   911)    10117.5  Rx      0626  8  80 12 FE 7F 2D 0D 00 00 
   912)    10144.5  Rx      0600  8  0A 66 01 00 00 40 00 00 
   913)    10150.5  Rx      0618  8  00 01 00 64 87 13 78 00 
   914)    10151.4  Rx      0626  8  A0 12 FE 7F 31 0D 00 00 
   915)    10185.4  Rx      0626  8  9A 12 FE 7F 3B 0D 00 00 
   916)    10215.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
   917)    10216.5  Rx      0610  8  07 00 E5 03 0A 04 78 00 
   918)    10219.5  Rx      0626  8  A8 12 FE 7F 45 0D 00 00 
   919)    10246.4  Rx      0600  8  0A 66 01 00 00 40 00 00 
   920)    10251.4  Rx      0618  8  00 01 00 64 8E 13 7A 00 
   921)    10253.4  Rx      0626  8  B7 12 FE 7F 58 0D 00 00 
   922)    10287.5  Rx      0626  8  AE 12 FE 7F 60 0D 00 00 
   923)    10315.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
   924)    10317.4  Rx      0610  8  07 00 EC 03 11 04 79 00 
   925)    10319.4  Rx      0628  8  10 04 6F 00 20 00 00 00 
   926)    10321.4  Rx      0626  8  8A 12 FE 7F 5E 0D 00 00 
   927)    10325.5  Rx      0615  8  24 00 56 00 00 00 00 00 
   928)    10348.4  Rx      0600  8  0A 66 01 00 00 40 00 00 
   929)    10352.4  Rx      0618  8  00 01 00 64 8A 13 78 00 
   930)    10355.4  Rx      0626  8  70 12 FE 7F 66 0D 00 00 
   931)    10357.5  Rx      0620  8  0C 19 00 00 81 02 00 00 
   932)    10386.3  Rx      0037  3  00 00 00 
   933)    10386.8  Rx      0030  8  07 40 00 04 00 00 00 37 
   934)    10389.5  Rx      0626  8  72 12 FE 7F 63 0D 00 00 
   935)    10415.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
   936)    10418.5  Rx      0610  8  07 00 F2 03 17 04 7A 00 
   937)    10423.4  Rx      0626  8  BF 12 FE 7F 6A 0D 00 00 
   938)    10450.4  Rx      0600  8  0A 66 01 00 00 40 00 00 
   939)    10453.4  Rx      0618  8  00 01 00 64 89 13 7B 00 
   940)    10457.4  Rx      0626  8  A4 12 FE 7F 75 0D 00 00 
   941)    10491.5  Rx      0626  8  C0 12 FE 7F 89 0D 00 00 
   942)    10515.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
   943)    10515.6  Rx      0100  8  2B FE FA 28 12 5C 9D 93 
   944)    10518.6  Rx      0101  8  13 88 00 17 00 5E 5B D3 
   945)    10519.4  Rx      0610  8  07 00 F7 03 1C 04 7A 00 
   946)    10521.6  Rx      0102  8  00 00 00 00 00 00 1B 00 
   947)    10524.6  Rx      0104  4  1C 03 71 49 
   948)    10525.4  Rx      0626  8  97 12 FE 7F 8E 0D 00 00 
   949)    10527.6  Rx      0105  8  0B B0 0B BA 0B A6 31 E4 
   950)    10530.6  Rx      0107  8  0F B1 0F B8 0F B4 48 FA 
   951)    10533.6  Rx      0108  8  0F BB 0F B7 0F B3 88 13 
   952)    10536.6  Rx      0109  8  0F BA 0F B6 0F B2 48 BE 
   953)    10539.6  Rx      010A  8  0F B9 0F B5 0F B1 49 4A 
   954)    10542.6  Rx      010B  8  0F B8 0F B4 0F BB 4E A6 
   955)    10545.6  Rx      010C  8  0F B7 0F B3 0F BA 4E 82 
   956)    10548.6  Rx      010D  8  0F B6 0F B2 0F B9 4F AE 
   957)    10551.6  Rx      010E  8  0F B5 0F B1 0F B8 8F DB 
   958)    10552.4  Rx      0600  8  0A 66 01 00 00 40 00 00 
   959)    10554.4  Rx      0618  8  00 01 00 64 8C 13 7A 00 
   960)    10554.6  Rx      010F  8  0F B4 0F BB 0F B7 49 86 
   961)    10557.6  Rx      0110  8  0F B3 00 00 00 00 3E 05 
   962)    10559.4  Rx      0626  8  88 12 FE 7F 90 0D 00 00 
   963)    10593.4  Rx      0626  8  95 12 FE 7F 8B 0D 00 00 
   964)    10615.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
   965)    10620.5  Rx      0610  8  07 00 FD 03 23 04 7B 00 
   966)    10620.6  Rx      0615  8  24 00 56 00 00 00 00 00 
   967)    10627.4  Rx      0626  8  9D 12 FE 7F 91 0D 00 00 
   968)    10654.5  Rx      0600  8  0A 66 01 00 00 40 00 00 
   969)    10655.4  Rx      0618  8  00 01 00 64 8B 13 7B 00 
   970)    10661.5  Rx      0626  8  C3 12 FE 7F 94 0D 00 00 
   971)    10695.5  Rx      0626  8  BF 12 FE 7F B1 0D 00 00 
   972)    10715.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
   973)    10721.4  Rx      0610  8  07 00 02 04 28 04 7C 00 
   974)    10729.4  Rx      0626  8  AE 12 FE 7F B3 0D 00 00 
   975)    10756.5  Rx      0600  8  0A 66 01 00 00 40 00 00 
   976)    10756.6  Rx      0618  8  00 01 00 64 83 13 7D 00 
   977)    10763.4  Rx      0626  8  97 12 FE 7F B3 0D 00 00 
   978)    10797.4  Rx      0626  8  7F 12 FE 7F B0 0D 00 00 
   979)    10815.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
   980)    10822.4  Rx      0610  8  07 00 08 04 2E 04 7C 00 
   981)    10831.4  Rx      0626  8  A4 12 FE 7F B3 0D 00 00 
   982)    10857.4  Rx      0618  8  00 01 00 64 85 13 7C 00 
   983)    10858.4  Rx      0600  8  0A 66 01 00 00 40 00 00 
   984)    10865.4  Rx      0626  8  A7 12 FE 7F BD 0D 00 00 
   985)    10899.4  Rx      0626  8  BD 12 FE 7F D1 0D 00 00 
   986)    10912.5  Rx      0615  8  24 00 56 00 00 00 00 00 
   987)    10915.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
   988)    10923.4  Rx      0610  8  07 00 0D 04 33 04 7D 00 
   989)    10933.5  Rx      0626  8  7D 12 FE 7F D6 0D 00 00 
   990)    10958.4  Rx      0618  8  00 01 00 64 88 13 7E 00 
   991)    10960.4  Rx      0600  8  0A 66 01 00 00 40 00 00 
   992)    10961.4  Rx      0625  8  00 00 00 00 32 00 00 00 
   993)    10967.4  Rx      0626  8  78 12 FE 7F DB 0D 00 00 
   994)    11001.4  Rx      0626  8  74 12 FE 7F D0 0D 00 00 
   995)    11015.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
   996)    11024.4  Rx      0610  8  07 00 12 04 39 04 7E 00 
   997)    11035.5  Rx      0626  8  9D 12 FE 7F D9 0D 00 00 
   998)    11059.4  Rx      0618  8  00 01 00 64 7E 13 7D 00 
   999)    11062.5  Rx      0600  8  0A 66 01 00 00 40 00 00 
  1000)    11069.5  Rx      0626  8  BE 12 FE 7F DF 0D 00 00 
  1001)    11076.5  Rx      0628  8  0D 04 6F 00 20 00 00 00 
  1002)    11103.4  Rx      0626  8  BA 12 FE 7F F4 0D 00 00 
  1003)    11115.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
  1004)    11125.4  Rx      0610  8  07 00 17 04 3D 04 7E 00 
  1005)    11137.5  Rx      0626  8  84 12 FE 7F F1 0D 00 00 
  1006)    11160.4  Rx      0618  8  00 01 00 64 82 13 7F 00 
  1007)    11164.4  Rx      0600  8  0A 66 01 00 00 40 00 00 
  1008)    11171.5  Rx      0626  8  92 12 FE 7F EC 0D 00 00 
  1009)    11197.5  Rx      0615  8  24 00 56 00 00 00 00 00 
  1010)    11205.5  Rx      0626  8  A3 12 FE 7F F2 0D 00 00 
  1011)    11215.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
  1012)    11226.5  Rx      0610  8  07 00 1C 04 42 04 7F 00 
  1013)    11239.4  Rx      0626  8  A0 12 FE 7F F7 0D 00 00 
  1014)    11261.4  Rx      0618  8  00 01 00 64 85 13 80 00 
  1015)    11266.5  Rx      0600  8  0A 66 01 00 00 40 00 00 
  1016)    11273.4  Rx      0626  8  BD 12 FE 7F 0F 0E 00 00 
  1017)    11307.4  Rx      0626  8  7F 12 FE 7F 0D 0E 00 00 
  1018)    11315.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
  1019)    11327.4  Rx      0610  8  07 00 20 04 47 04 7F 00 
  1020)    11341.5  Rx      0626  8  79 12 FE 7F 0A 0E 00 00 
  1021)    11358.4  Rx      0620  8  0C 19 00 00 81 02 00 00 
  1022)    11362.4  Rx      0618  8  00 01 00 64 82 13 7F 00 
  1023)    11368.4  Rx      0600  8  0A 66 01 00 00 40 00 00 
  1024)    11375.4  Rx      0626  8  AE 12 FE 7F 0F 0E 00 00 
  1025)    11409.4  Rx      0626  8  B6 12 FE 7F 15 0E 00 00 
  1026)    11415.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
  1027)    11428.4  Rx      0610  8  07 00 25 04 4C 04 80 00 
  1028)    11443.5  Rx      0626  8  CA 12 FE 7F 2C 0E 00 00 
  1029)    11463.5  Rx      0618  8  00 01 00 64 83 13 81 00 
  1030)    11470.5  Rx      0600  8  0A 66 01 00 00 40 00 00 
  1031)    11477.4  Rx      0626  8  8E 12 FE 7F 2B 0E 00 00 
  1032)    11481.5  Rx      0615  8  25 00 56 00 00 00 00 00 
  1033)    11511.4  Rx      0626  8  76 12 FE 7F 22 0E 00 00 
  1034)    11515.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
  1035)    11515.6  Rx      0100  8  2B FE FA B2 12 5C B2 B3 
  1036)    11518.6  Rx      0101  8  13 88 00 17 00 5E 5B D3 
  1037)    11521.6  Rx      0102  8  00 00 00 00 00 00 1B 00 
  1038)    11524.6  Rx      0104  4  1C 03 71 49 
  1039)    11527.6  Rx      0105  8  0B B0 0B BA 0B A6 31 E4 
  1040)    11529.5  Rx      0610  8  07 00 2A 04 51 04 80 00 
  1041)    11530.6  Rx      0107  8  0F B1 0F B8 0F B4 48 FA 
  1042)    11533.6  Rx      0108  8  0F BB 0F B7 0F B3 88 13 
  1043)    11536.6  Rx      0109  8  0F BA 0F B6 0F B2 48 BE 
  1044)    11539.6  Rx      010A  8  0F B9 0F B5 0F B1 49 4A 
  1045)    11542.6  Rx      010B  8  0F B8 0F B4 0F BB 4E A6 
  1046)    11545.4  Rx      0626  8  BC 12 FE 7F 26 0E 00 00 
  1047)    11545.6  Rx      010C  8  0F B7 0F B3 0F BA 4E 82 
  1048)    11548.6  Rx      010D  8  0F B6 0F B2 0F B9 4F AE 
  1049)    11551.6  Rx      010E  8  0F B5 0F B1 0F B8 8F DB 
  1050)    11554.6  Rx      010F  8  0F B4 0F BB 0F B7 49 86 
  1051)    11557.6  Rx      0110  8  0F B3 00 00 00 00 3E 05 
  1052)    11564.5  Rx      0618  8  00 01 00 64 86 13 80 00 
  1053)    11572.4  Rx      0600  8  0A 66 01 00 00 40 00 00 
  1054)    11579.4  Rx      0626  8  D4 12 FE 7F 43 0E 00 00 
  1055)    11613.4  Rx      0626  8  77 12 FE 7F 41 0E 00 00 
  1056)    11615.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
  1057)    11630.4  Rx      0610  8  07 00 2E 04 55 04 81 00 
  1058)    11647.5  Rx      0626  8  89 12 FE 7F 43 0E 00 00 
  1059)    11665.4  Rx      0618  8  00 01 00 64 8D 13 82 00 
  1060)    11674.4  Rx      0600  8  0A 66 01 00 00 40 00 00 
  1061)    11681.4  Rx      0626  8  8B 12 FE 7F 3A 0E 00 00 
  1062)    11715.4  Rx      0626  8  AE 12 FE 7F 46 0E 00 00 
  1063)    11715.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
  1064)    11731.5  Rx      0610  8  07 00 33 04 5A 04 81 00 
  1065)    11749.5  Rx      0626  8  B0 12 FE 7F 56 0E 00 00 
  1066)    11760.5  Rx      0615  8  24 00 56 00 00 00 00 00 
  1067)    11766.4  Rx      0618  8  00 01 00 64 88 13 81 00 
  1068)    11776.4  Rx      0600  8  0A 66 01 00 00 40 00 00 
  1069)    11783.4  Rx      0626  8  7E 12 FE 7F 59 0E 00 00 
  1070)    11815.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
  1071)    11817.4  Rx      0626  8  88 12 FE 7F 4F 0E 00 00 
  1072)    11832.4  Rx      0610  8  07 00 37 04 5E 04 82 00 
  1073)    11833.4  Rx      0628  8  07 04 6F 00 20 00 00 00 
  1074)    11850.4  Rx      0625  8  00 00 00 00 32 00 00 00 
  1075)    11851.4  Rx      0626  8  BA 12 FE 7F 56 0E 00 00 
  1076)    11867.4  Rx      0618  8  00 01 00 64 88 13 81 00 
  1077)    11878.4  Rx      0600  8  0A 66 01 00 00 40 00 00 
  1078)    11885.4  Rx      0626  8  B2 12 FE 7F 5C 0E 00 00 
  1079)    11915.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
  1080)    11919.4  Rx      0626  8  9C 12 FE 7F 6F 0E 00 00 
  1081)    11933.4  Rx      0610  8  07 00 3B 04 63 04 82 00 
  1082)    11953.4  Rx      0626  8  96 12 FE 7F 6A 0E 00 00 
  1083)    11968.4  Rx      0618  8  00 01 00 64 85 13 85 00 
  1084)    11980.5  Rx      0600  8  0A 66 01 00 00 40 00 00 
  1085)    11987.4  Rx      0626  8  96 12 FE 7F 68 0E 00 00 
  1086)    12015.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
  1087)    12021.4  Rx      0626  8  D7 12 FE 7F 6F 0E 00 00 
  1088)    12034.4  Rx      0610  8  07 00 3F 04 67 04 84 00 
  1089)    12036.5  Rx      0615  8  24 00 56 00 00 00 00 00 
  1090)    12055.5  Rx      0626  8  ED 12 FE 7F 86 0E 00 00 
  1091)    12069.4  Rx      0618  8  00 01 00 64 85 13 84 00 
  1092)    12082.5  Rx      0600  8  0A 66 01 00 00 40 00 00 
  1093)    12089.4  Rx      0626  8  9C 12 FE 7F 83 0E 00 00 
  1094)    12115.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
  1095)    12123.5  Rx      0626  8  A8 12 FE 7F 78 0E 00 00 
  1096)    12135.5  Rx      0610  8  07 00 43 04 6C 04 84 00 
  1097)    12157.5  Rx      0626  8  D0 12 FE 7F 81 0E 00 00 
  1098)    12170.4  Rx      0618  8  00 01 00 64 85 13 84 00 
  1099)    12184.4  Rx      0600  8  0A 66 01 00 00 40 00 00 
  1100)    12191.5  Rx      0626  8  0B 13 FE 7F 98 0E 00 00 
  1101)    12215.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
  1102)    12225.5  Rx      0626  8  BD 12 FE 7F 96 0E 00 00 
  1103)    12236.4  Rx      0610  8  07 00 48 04 70 04 85 00 
  1104)    12259.4  Rx      0626  8  E3 12 FE 7F 92 0E 00 00 
  1105)    12271.5  Rx      0618  8  00 01 00 64 85 13 8C 00 
  1106)    12286.4  Rx      0600  8  0A 66 01 00 00 40 00 00 
  1107)    12293.4  Rx      0626  8  B8 13 FE 7F 97 0E 00 00 
  1108)    12310.5  Rx      0615  8  25 00 56 00 00 00 00 00 
  1109)    12315.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
  1110)    12327.5  Rx      0626  8  16 14 FE 7F B5 0E 00 00 
  1111)    12337.5  Rx      0610  8  07 00 4E 04 77 04 8B 00 
  1112)    12359.5  Rx      0620  8  0C 19 00 00 81 02 00 00 
  1113)    12361.5  Rx      0626  8  F0 13 FE 7F BC 0E 00 00 
  1114)    12372.4  Rx      0618  8  00 01 00 64 7F 13 92 00 
  1115)    12387.0  Rx      0037  3  00 00 00 
  1116)    12387.6  Rx      0030  8  07 40 00 04 00 00 00 38 
  1117)    12388.4  Rx      0600  8  0A 66 01 00 00 40 00 00 
  1118)    12395.4  Rx      0626  8  21 14 FE 7F B7 0E 00 00 
  1119)    12415.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
  1120)    12429.5  Rx      0626  8  90 14 FE 7F C7 0E 00 00 
  1121)    12438.4  Rx      0610  8  07 00 57 04 80 04 91 00 
  1122)    12463.5  Rx      0626  8  B0 14 FE 7F E1 0E 00 00 
  1123)    12473.4  Rx      0618  8  00 01 00 64 80 13 94 00 
  1124)    12490.5  Rx      0600  8  0A 66 01 00 00 40 00 00 
  1125)    12497.5  Rx      0626  8  8B 14 FE 7F E7 0E 00 00 
  1126)    12515.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
  1127)    12515.6  Rx      0100  8  2B FE FB 46 12 5C BC F3 
  1128)    12518.6  Rx      0101  8  13 88 00 17 00 5E 5B D3 
  1129)    12521.6  Rx      0102  8  00 00 00 00 02 00 7B 01 
  1130)    12524.6  Rx      0104  4  1C 03 71 49 
  1131)    12527.6  Rx      0105  8  0B B0 0B BA 0B A6 31 E4 
  1132)    12530.6  Rx      0107  8  0F B1 0F B8 0F B4 48 FA 
  1133)    12531.4  Rx      0626  8  D1 14 FE 7F E8 0E 00 00 
  1134)    12533.6  Rx      0108  8  0F BB 0F B7 0F B3 88 13 
  1135)    12536.6  Rx      0109  8  0F BA 0F B6 0F B2 48 BE 
  1136)    12539.4  Rx      0610  8  08 00 61 04 8A 04 96 00 
  1137)    12539.6  Rx      010A  8  0F B9 0F B5 0F B1 49 4A 
  1138)    12542.6  Rx      010B  8  0F B8 0F B4 0F BB 4E A6 
  1139)    12545.6  Rx      010C  8  0F B7 0F B3 0F BA 4E 82 
  1140)    12548.6  Rx      010D  8  0F B6 0F B2 0F B9 4F AE 
  1141)    12551.6  Rx      010E  8  0F B5 0F B1 0F B8 8F DB 
  1142)    12554.6  Rx      010F  8  0F B4 0F BB 0F B7 49 86 
  1143)    12557.6  Rx      0110  8  0F B3 00 00 00 00 3E 05 
  1144)    12565.4  Rx      0626  8  6C 15 FE 7F F8 0E 00 00 
  1145)    12574.4  Rx      0618  8  00 01 00 64 85 13 9A 00 
  1146)    12578.5  Rx      0615  8  28 00 56 00 00 00 00 00 
  1147)    12590.4  Rx      0628  8  0A 04 6F 00 20 00 00 00 
  1148)    12592.4  Rx      0600  8  0A 66 01 00 00 40 00 00 
  1149)    12599.4  Rx      0626  8  2F 15 FE 7F 17 0F 00 00 
  1150)    12615.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
  1151)    12633.5  Rx      0626  8  38 15 FE 7F 15 0F 00 00 
  1152)    12640.4  Rx      0610  8  08 00 6D 04 97 04 9B 00 
  1153)    12667.4  Rx      0626  8  8E 15 FE 7F 24 0F 00 00 
  1154)    12675.4  Rx      0618  8  00 01 00 64 86 13 A0 00 
  1155)    12694.5  Rx      0600  8  0A 66 01 00 00 40 00 00 
  1156)    12701.4  Rx      0626  8  8E 15 FE 7F 47 0F 00 00 
  1157)    12715.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
  1158)    12735.4  Rx      0626  8  4A 15 FE 7F 4D 0F 00 00 
  1159)    12739.3  Rx      0625  8  00 00 00 00 32 00 00 00 
  1160)    12741.4  Rx      0610  8  08 00 7B 04 A5 04 9F 00 
  1161)    12769.4  Rx      0626  8  A4 15 FE 7F 56 0F 00 00 
  1162)    12776.4  Rx      0618  8  00 01 00 64 7C 13 A3 00 
  1163)    12796.4  Rx      0600  8  0A 66 01 00 00 40 00 00 
  1164)    12803.4  Rx      0626  8  BA 15 FE 7F 75 0F 00 00 
  1165)    12815.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
  1166)    12837.4  Rx      0626  8  5C 15 FE 7F 7F 0F 00 00 
  1167)    12839.4  Rx      0615  8  2A 00 56 00 00 00 00 00 
  1168)    12842.4  Rx      0610  8  08 00 88 04 B2 04 A1 00 
  1169)    12871.4  Rx      0626  8  AB 15 FE 7F 7D 0F 00 00 
  1170)    12877.5  Rx      0618  8  00 01 00 64 79 13 A5 00 
  1171)    12898.5  Rx      0600  8  0A 66 01 00 00 40 00 00 
  1172)    12905.4  Rx      0626  8  B0 15 FE 7F A2 0F 00 00 
  1173)    12915.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
  1174)    12939.4  Rx      0626  8  68 15 FE 7F AC 0F 00 00 
  1175)    12943.5  Rx      0610  8  08 00 95 04 C0 04 A3 00 
  1176)    12973.5  Rx      0626  8  97 15 FE 7F AD 0F 00 00 
  1177)    12978.5  Rx      0618  8  00 01 00 64 7B 13 A6 00 
  1178)    13000.5  Rx      0600  8  0A 66 01 00 00 40 00 00 
  1179)    13007.4  Rx      0626  8  BB 15 FE 7F CD 0F 00 00 
  1180)    13015.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
  1181)    13041.5  Rx      0626  8  62 15 FE 7F D4 0F 00 00 
  1182)    13044.4  Rx      0610  8  08 00 A2 04 CE 04 A5 00 
  1183)    13075.5  Rx      0626  8  84 15 FE 7F DB 0F 00 00 
  1184)    13079.4  Rx      0618  8  00 01 00 64 7B 13 A9 00 
  1185)    13092.5  Rx      0615  8  2A 00 56 00 00 00 00 00 
  1186)    13102.5  Rx      0600  8  0A 66 01 00 00 40 00 00 
  1187)    13109.4  Rx      0626  8  A6 15 FE 7F FA 0F 00 00 
  1188)    13115.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
  1189)    13143.4  Rx      0626  8  67 15 FE 7F F8 0F 00 00 
  1190)    13145.5  Rx      0610  8  08 00 AF 04 DB 04 A7 00 
  1191)    13177.5  Rx      0626  8  AA 15 FE 7F 05 10 00 00 
  1192)    13180.4  Rx      0618  8  00 01 00 64 78 13 AB 00 
  1193)    13204.4  Rx      0600  8  0A 66 01 00 00 40 00 00 
  1194)    13211.5  Rx      0626  8  66 15 FE 7F 21 10 00 00 
  1195)    13215.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
  1196)    13245.4  Rx      0626  8  7A 15 FE 7F 21 10 00 00 
  1197)    13246.5  Rx      0610  8  08 00 BC 04 E8 04 A9 00 
  1198)    13279.5  Rx      0626  8  C7 15 FE 7F 40 10 00 00 
  1199)    13281.5  Rx      0618  8  00 01 00 64 7A 13 AC 00 
  1200)    13306.5  Rx      0600  8  0A 66 01 00 00 40 00 00 
  1201)    13313.4  Rx      0626  8  5A 15 FE 7F 4B 10 00 00 
  1202)    13315.6  Rx  1839F380  8  01 1A 21 1D 08 07 00 A9 
  1203)    13338.5  Rx      0615  8  29 00 56 00 00 00 00 00 
