section,d(m),V(m/s),V(km/h),a(m/s^2),Time(s)
Straight,0,13.105441,47.18,0.0,0.0
Straight,10,13.118045,47.225,0.016526,0.762675
Straight,20,13.13065,47.27,0.016542,1.524618
Straight,30,13.143254,47.316,0.016558,2.285829
Straight,40,13.172663,47.422,0.038697,3.045826
Straight,50,13.196471,47.507,0.031389,3.804288
Straight,60,13.207674,47.548,0.014791,4.561745
Straight,70,13.202773,47.53,-0.006473,5.319021
Straight,80,13.197871,47.512,-0.00647,6.076578
Straight,90,13.178265,47.442,-0.025857,6.83484
Straight,100,13.200672,47.522,0.029554,7.59302
Straight,110,13.251089,47.704,0.06668,8.349114
Straight,120,13.301505,47.885,0.066934,9.102336
Straight,130,13.399537,48.238,0.130877,9.85137
Straight,140,13.44085,48.387,0.055443,10.596516
Straight,150,13.482163,48.536,0.055614,11.339375
Straight,160,13.531179,48.712,0.066204,12.07975
Straight,170,13.591399,48.929,0.081665,12.817143
Straight,180,13.612405,49.005,0.028573,13.552334
Straight,190,13.633412,49.08,0.028617,14.286392
Straight,200,13.671225,49.216,0.051622,15.018868
Straight,210,13.709037,49.353,0.051765,15.749321
Straight,220,13.547985,48.773,-0.21949,16.483077
Straight,230,13.330214,47.989,-0.292664,17.227174
Straight,240,13.112444,47.205,-0.287922,17.983528
Straight,250,12.302982,44.291,-1.028641,18.770452
Straight,260,11.937463,42.975,-0.443016,19.595519
Turn,270,11.747002,42.289,-0.225549,20.439954
Turn,280,11.290454,40.646,-0.525885,21.308106
Turn,290,11.130102,40.068,-0.179759,22.200144
Turn,300,10.96975,39.491,-0.177188,23.105128
Turn,310,10.797494,38.871,-0.187477,24.02394
Turn,320,10.829705,38.987,0.034831,24.948701
Turn,330,10.957146,39.446,0.138827,25.866686
Turn,340,11.027169,39.698,0.07697,26.776425
Turn,350,11.081786,39.894,0.060377,27.681036
Turn,360,11.113997,40.01,0.035747,28.582108
Turn,370,11.146207,40.126,0.035851,29.480573
Turn,380,11.171415,40.217,0.028129,30.376725
Turn,390,11.196624,40.308,0.028193,31.270858
Turn,400,11.249841,40.499,0.059727,32.161867
Turn,410,11.315662,40.736,0.074265,33.048176
Turn,420,11.403891,41.054,0.100226,33.928475
Turn,430,11.513126,41.447,0.125167,34.801189
Turn,440,11.611158,41.8,0.113346,35.666081
Turn,450,11.674878,42.03,0.07419,36.524964
Turn,460,11.738599,42.259,0.074596,37.379173
Turn,470,11.797418,42.471,0.069218,38.228935
Turn,480,11.905253,42.859,0.127799,39.072721
Straight,490,12.039696,43.343,0.160962,39.907971
Straight,500,12.153133,43.751,0.137218,40.734662
Straight,510,12.321188,44.356,0.205651,41.551845
Straight,520,12.403114,44.651,0.101279,42.360766
Straight,530,12.485041,44.946,0.10195,43.164361
Straight,540,12.6671,45.602,0.228959,43.959522
Straight,550,12.825351,46.171,0.201711,44.744068
Straight,560,12.966797,46.68,0.18241,45.519498
Straight,570,13.036819,46.933,0.091042,46.288621
Straight,580,13.106842,47.185,0.091532,47.053625
Straight,590,13.19507,47.502,0.116029,47.814026
Straight,600,13.328113,47.981,0.176436,48.568083
Straight,610,13.399537,48.238,0.095449,49.316372
Straight,620,13.47096,48.495,0.095959,50.060683
Straight,630,13.622209,49.04,0.204891,50.798876
Straight,640,13.685229,49.267,0.086046,51.531278
Straight,650,13.748249,49.494,0.086443,52.260314
Straight,660,13.877091,49.958,0.177965,52.984287
Straight,670,13.986326,50.351,0.152184,53.702074
Straight,680,14.050047,50.58,0.089325,54.415433
Straight,690,14.113768,50.81,0.089731,55.125564
Straight,700,14.224404,51.208,0.156761,55.831326
Straight,710,14.258715,51.331,0.048864,56.533496
Straight,720,14.293026,51.455,0.048982,57.233979
Straight,730,14.339241,51.621,0.066162,57.932491
Straight,740,14.384055,51.783,0.064361,58.62879
Straight,750,14.42887,51.944,0.064562,59.322923
Straight,760,14.524101,52.287,0.137861,60.013699
Straight,770,14.566814,52.441,0.062129,60.701199
Straight,780,14.609528,52.594,0.062312,61.386685
Straight,790,14.694956,52.902,0.125171,62.069175
Straight,800,14.729967,53.028,0.05151,62.748871
Straight,810,14.764978,53.154,0.051633,63.426953
Straight,820,14.833601,53.401,0.101556,64.102661
Straight,830,14.878415,53.562,0.066576,64.77579
Straight,840,14.884717,53.585,0.009378,65.447762
Straight,850,14.891019,53.608,0.009382,66.11945
Straight,860,14.805592,53.3,-0.126846,66.792927
Straight,870,14.766379,53.159,-0.05798,67.469243
Straight,880,14.727166,53.018,-0.057826,68.147358
Straight,890,14.623533,52.645,-0.152086,68.828773
Straight,900,14.566114,52.438,-0.083801,69.513947
Straight,910,14.508696,52.231,-0.083472,70.201828
Straight,920,14.472284,52.1,-0.052762,70.891935
Straight,930,14.468082,52.085,-0.006079,71.583012
Straight,940,14.463881,52.07,-0.006078,72.274289
Straight,950,14.493291,52.176,0.042581,72.964964
Straight,960,14.519899,52.272,0.0386,73.654306
Straight,970,14.546508,52.367,0.038671,74.342385
Straight,980,14.568915,52.448,0.03262,75.029306
Straight,990,14.600425,52.562,0.045957,75.714958
Straight,1000,14.631935,52.675,0.046056,76.399131
Straight,1010,14.699157,52.917,0.098584,77.081001
Straight,1020,14.735569,53.048,0.053589,77.760471
Straight,1030,14.771981,53.179,0.053721,78.438263
Straight,1040,14.877015,53.557,0.155708,79.112822
Straight,1050,14.931632,53.754,0.081404,79.783769
Straight,1060,14.98625,53.951,0.081702,80.452265
Straight,1070,15.068877,54.248,0.124168,81.117709
Straight,1080,15.103888,54.374,0.052819,81.780559
Straight,1090,15.138899,54.5,0.052942,82.441873
Straight,1100,15.192117,54.692,0.080707,83.101264
Straight,1110,15.192817,54.694,0.001064,83.759485
Straight,1120,15.193517,54.697,0.001064,84.417676
Straight,1130,15.190716,54.687,-0.004255,85.075912
Straight,1140,15.177412,54.639,-0.020201,85.734497
Straight,1150,15.164108,54.591,-0.020184,86.39366
Straight,1160,15.138899,54.5,-0.038194,87.05366
Straight,1170,15.114392,54.412,-0.037072,87.714746
Straight,1180,15.089884,54.324,-0.037012,88.376903
Straight,1190,15.01706,54.061,-0.109625,89.041202
Straight,1200,14.963843,53.87,-0.079775,89.708293
Straight,1210,14.910626,53.678,-0.079492,90.377761
Straight,1220,14.827999,53.381,-0.12286,91.050287
Straight,1230,14.792988,53.255,-0.051854,91.725484
Straight,1240,14.757976,53.129,-0.051731,92.402281
Straight,1250,14.697757,52.912,-0.08869,93.081266
Straight,1260,14.667647,52.804,-0.044209,93.76234
Straight,1270,14.637537,52.695,-0.044119,94.444813
Straight,1280,14.574517,52.468,-0.092048,95.129462
Straight,1290,14.575217,52.471,0.001021,95.815574
Straight,1300,14.575917,52.473,0.001021,96.501654
Straight,1310,14.612329,52.604,0.05314,97.186861
Straight,1320,14.643139,52.715,0.045068,97.870494
Straight,1330,14.673949,52.826,0.045163,98.55269
Straight,1340,14.735569,53.048,0.090611,99.232742
Straight,1350,14.76988,53.172,0.050618,99.910583
Straight,1360,14.804191,53.295,0.050736,100.586851
Straight,1370,14.914827,53.693,0.164399,101.259821
Straight,1380,14.996753,53.988,0.122528,101.928458
Straight,1390,15.07868,54.283,0.123199,102.593453
Straight,1400,15.192117,54.692,0.171691,103.254156
Straight,1410,15.161307,54.581,-0.046759,103.91306
Straight,1420,15.130497,54.47,-0.046664,104.573304
Straight,1430,15.024062,54.087,-0.160474,105.236554
Straight,1440,14.977847,53.92,-0.069327,105.903178
Straight,1450,14.931632,53.754,-0.069113,106.571863
Straight,1460,14.874214,53.547,-0.08557,107.242872
Straight,1470,14.853207,53.472,-0.031224,107.915651
Straight,1480,14.8322,53.396,-0.03118,108.589383
Straight,1490,14.798589,53.275,-0.049796,109.264357
Straight,1500,14.76988,53.172,-0.042444,109.940753
Straight,1510,14.741171,53.068,-0.042362,110.618465
Straight,1520,14.711761,52.962,-0.04331,111.297515
Straight,1530,14.710361,52.957,-0.00206,111.977275
Straight,1540,14.70896,52.952,-0.00206,112.657101
Straight,1550,14.724365,53.008,0.022671,113.336603
Straight,1560,14.732768,53.038,0.012376,114.015555
Straight,1570,14.741171,53.068,0.012383,114.694121
Straight,1580,14.766379,53.159,0.037192,115.371913
Straight,1590,14.778983,53.204,0.01862,116.048839
Straight,1600,14.791587,53.25,0.018635,116.725187
Straight,1610,14.820997,53.356,0.043545,117.400575
Straight,1620,14.819596,53.351,-0.002076,118.075326
Straight,1630,14.818196,53.346,-0.002075,118.75014
Straight,1640,14.827999,53.381,0.014531,119.424763
Straight,1650,14.843404,53.436,0.022854,120.098812
Straight,1660,14.858809,53.492,0.022878,120.772163
Straight,1670,14.941436,53.789,0.123115,121.443298
Straight,1680,14.970145,53.893,0.042937,122.111936
Straight,1690,14.998854,53.996,0.043019,122.779292
Straight,1700,14.98625,53.951,-0.018897,123.44629
Straight,1710,14.976447,53.915,-0.014686,124.113786
Straight,1720,14.966644,53.88,-0.014677,124.78172
Straight,1730,14.959641,53.855,-0.010478,125.450029
Straight,1740,14.952639,53.83,-0.010473,126.118651
Straight,1750,14.945637,53.804,-0.010468,126.787585
Straight,1760,14.915527,53.696,-0.044956,127.457352
Straight,1770,14.885417,53.588,-0.044865,128.128471
Straight,1780,14.774782,53.189,-0.164074,128.802776
Straight,1790,14.783184,53.219,0.012418,129.479412
Straight,1800,14.804891,53.298,0.032113,130.15536
Straight,1810,14.826598,53.376,0.032161,130.830318
Straight,1820,14.870012,53.532,0.064463,131.503795
Straight,1830,14.89382,53.618,0.03543,132.175752
Straight,1840,14.917628,53.703,0.035487,132.846635
Straight,1850,15.012859,54.046,0.142515,133.51485
Straight,1860,15.026163,54.094,0.019982,134.180651
Straight,1870,15.039467,54.142,0.02,134.845862
Straight,1880,15.061174,54.22,0.03267,135.5103
Straight,1890,15.082881,54.298,0.032717,136.17378
Straight,1900,15.150103,54.54,0.101616,136.83531
Straight,1910,15.215924,54.777,0.099937,137.49394
Straight,1920,15.244634,54.881,0.043725,138.150527
Straight,1930,15.273343,54.984,0.043807,138.805879
Straight,1940,15.292949,55.055,0.029965,139.460194
Straight,1950,15.312556,55.125,0.030003,140.113671
Straight,1960,15.348967,55.256,0.055822,140.765955
Straight,1970,15.359471,55.294,0.016127,141.417241
Straight,1980,15.369974,55.332,0.016138,142.068083
Straight,1990,15.421791,55.518,0.079776,142.717607
Straight,2000,15.442798,55.594,0.032418,143.365599
Straight,2010,15.463805,55.67,0.032462,144.01271
Straight,2020,15.483411,55.74,0.030338,144.658972
Straight,2030,15.486212,55.75,0.004337,145.304766
Straight,2040,15.489013,55.76,0.004338,145.950443
Straight,2050,15.503017,55.811,0.021701,146.59577
Straight,2060,15.517022,55.861,0.021721,147.240515
Straight,2070,15.528225,55.902,0.017391,147.884736
Straight,2080,15.535928,55.929,0.011964,148.528565
Straight,2090,15.54363,55.957,0.01197,149.172075
Straight,2100,15.609452,56.194,0.102527,149.814066
Straight,2110,15.639562,56.302,0.047045,150.454086
Straight,2120,15.669671,56.411,0.047136,151.092875
Straight,2130,15.731291,56.633,0.096746,151.729798
Straight,2140,15.768403,56.766,0.058451,152.364725
Straight,2150,15.805515,56.9,0.058589,152.998159
Straight,2160,15.843327,57.036,0.059836,153.630094
Straight,2170,15.88114,57.172,0.059979,154.260522
Straight,2180,15.956764,57.444,0.120386,154.888704
Straight,2190,15.986174,57.55,0.046971,155.514821
Straight,2200,16.015583,57.656,0.047058,156.139786
Straight,2210,16.077203,57.878,0.098878,156.762979
Straight,2220,16.124819,58.049,0.076666,157.384058
Straight,2230,16.172434,58.221,0.076892,158.003306
Straight,2240,16.208146,58.349,0.057818,158.62096
Straight,2250,16.243857,58.478,0.057946,159.237255
Straight,2260,16.291473,58.649,0.077459,159.851971
Straight,2270,16.323683,58.765,0.052527,160.465183
Straight,2280,16.355893,58.881,0.052631,161.077186
Straight,2290,16.400708,59.043,0.073399,161.68775
Straight,2300,16.445522,59.204,0.073599,162.296648
Straight,2310,16.502941,59.411,0.094593,162.903657
Straight,2320,16.505042,59.418,0.003467,163.509571
Straight,2330,16.507142,59.426,0.003467,164.115408
Straight,2340,16.423815,59.126,-0.137202,164.722739
Straight,2350,16.340488,58.826,-0.136508,165.333159
Straight,2360,15.627658,56.26,-1.139394,165.958782
Straight,2370,15.166909,54.601,-0.709428,166.608247
Straight,2380,14.706159,52.942,-0.688199,167.277747
Straight,2390,14.000331,50.401,-1.013093,167.974453
Straight,2400,13.850483,49.862,-0.20867,168.692565
Straight,2410,13.700634,49.322,-0.206425,169.418488
Straight,2420,13.477962,48.521,-0.302596,170.154362
Straight,2430,13.577394,48.879,0.134509,170.893587
