section,d(m),V(m/s),V(km/h),a(m/s^2),Time(s)
Straight,0,27.00284,97.21,0.0,0.0
Straight,10,27.017779,97.264,0.040351,0.370229
Straight,20,27.002552,97.209,-0.041128,0.74046
Straight,30,26.984116,97.143,-0.049766,1.110922
Straight,40,26.965835,97.077,-0.049313,1.481636
Straight,50,26.947708,97.012,-0.048863,1.8526
Straight,60,26.929735,96.947,-0.048417,2.223813
Straight,70,26.93451,96.964,0.012859,2.595117
Straight,80,26.941749,96.99,0.019501,2.966338
Straight,90,26.94892,97.016,0.019323,3.33746
Straight,100,26.956023,97.042,0.019146,3.708483
Straight,110,26.96306,97.067,0.018971,4.079409
Straight,120,26.996751,97.188,0.090897,4.450055
Straight,130,27.06175,97.422,0.175687,4.820025
Straight,140,27.126004,97.654,0.17409,5.189112
Straight,150,27.189527,97.882,0.172515,5.557331
Straight,160,27.252332,98.108,0.170959,5.924695
Straight,170,27.31443,98.332,0.169424,6.291219
Straight,180,27.375833,98.553,0.167908,6.656915
Straight,190,27.436553,98.772,0.166411,7.021796
Straight,200,27.496602,98.988,0.164933,7.385874
Straight,210,27.55599,99.202,0.163474,7.749163
Straight,220,27.614729,99.413,0.162033,8.111675
Straight,230,27.672828,99.622,0.160609,8.47342
Straight,240,27.730299,99.829,0.159203,8.83441
Straight,250,27.787151,100.034,0.157814,9.194657
Straight,260,27.843394,100.236,0.156441,9.554172
Straight,270,27.899037,100.437,0.155085,9.912965
Straight,280,27.954091,100.635,0.153745,10.271047
Straight,290,28.008563,100.831,0.152421,10.628428
Straight,300,28.062463,101.025,0.151112,10.985119
Straight,310,28.143033,101.315,0.226424,11.340956
Straight,320,28.331054,101.992,0.530916,11.6951
Straight,330,28.51626,102.659,0.526423,12.04692
Straight,340,28.698735,103.315,0.522014,12.396479
Straight,350,28.878558,103.963,0.517686,12.743838
Straight,360,28.821667,103.758,-0.164133,13.090457
Straight,370,28.758302,103.53,-0.182426,13.4378
Straight,380,28.694783,103.301,-0.18247,13.78591
Straight,390,28.631105,103.072,-0.182518,14.134793
Straight,400,28.567267,102.842,-0.182572,14.484453
Straight,410,28.503265,102.612,-0.182631,14.834897
Straight,420,28.439096,102.381,-0.182696,15.186129
Straight,430,28.317505,101.943,-0.345056,15.538511
Straight,440,28.156931,101.365,-0.453415,15.892653
Straight,450,27.995349,100.783,-0.45366,16.248828
Straight,460,27.848925,100.256,-0.408849,16.606966
Straight,470,27.726032,99.814,-0.341489,16.966841
Straight,480,27.602499,99.369,-0.341744,17.328318
Straight,490,27.493078,98.975,-0.301431,17.691323
Straight,500,27.417691,98.704,-0.206977,18.055551
Straight,510,27.342029,98.431,-0.207162,18.420783
Straight,520,27.266086,98.158,-0.207356,18.787029
Straight,530,27.189856,97.883,-0.207559,19.154298
Straight,540,27.113333,97.608,-0.207771,19.522601
Straight,550,27.036512,97.331,-0.207992,19.891946
Straight,560,26.959387,97.054,-0.208222,20.262344
Straight,570,26.881951,96.775,-0.208462,20.633806
Straight,580,26.804199,96.495,-0.208711,21.006342
Straight,590,24.772119,89.18,-5.24036,21.394117
Turn,600,25.0,90.0,0.567105,21.795948
Turn,610,25.0,90.0,0.0,22.195948
Turn,620,25.0,90.0,0.0,22.595948
Turn,630,25.0,90.0,0.0,22.995948
Turn,640,25.0,90.0,0.0,23.395948
Turn,650,25.0,90.0,0.0,23.795948
Turn,660,25.0,90.0,0.0,24.195948
Turn,670,24.775536,89.192,-0.558642,24.597752
Turn,680,24.368569,87.727,-1.0,25.004718
Turn,690,23.95469,86.237,-1.0,25.418598
Turn,700,23.533533,84.721,-1.0,25.839755
Straight,710,13.031017,46.912,-19.200988,26.386733
Straight,720,13.15032,47.341,0.156175,27.150636
Straight,730,13.268549,47.767,0.156175,27.90767
Straight,740,13.385735,48.189,0.156175,28.658019
Straight,750,13.501904,48.607,0.156175,29.401855
Straight,760,13.617081,49.021,0.156175,30.139346
Straight,770,14.062343,50.624,0.616229,30.861904
Straight,780,14.476102,52.114,0.590402,31.562713
Straight,790,14.863039,53.507,0.56762,32.244396
Straight,800,15.226804,54.816,0.547282,32.909072
Straight,810,15.570307,56.053,0.528944,33.558484
Straight,820,15.895908,57.225,0.512272,34.194086
Straight,830,16.205556,58.34,0.497006,34.817111
Straight,840,16.574445,59.668,0.60461,35.427239
